customer_id,signup_date,home_store_id,tier
115,2026-04-01,1007,Silver
116,2026-04-24,1011,Bronze
117,2025-10-01,1009,Bronze
118,2026-01-29,1006,Bronze
119,2025-09-16,1005,Gold
120,2026-02-27,1012,Bronze
121,2025-12-29,1008,Silver
122,2025-10-23,1012,Silver
123,2025-10-08,1002,Bronze
124,2026-04-02,1010,Bronze
125,2025-11-01,1008,Gold
126,2026-08-02,1002,Bronze
127,2026-03-30,1007,Bronze
128,2026-01-04,1008,Silver
129,2026-04-03,1001,Bronze
130,2025-09-09,1006,Gold
131,2026-08-14,1010,Bronze
132,2026-02-23,1003,Bronze
133,2026-06-12,1006,Bronze
134,2025-10-01,1005,Bronze
135,2026-02-24,1004,Silver
136,2026-02-26,1011,Bronze
137,2026-08-07,1009,Bronze
138,2026-03-27,1001,Bronze
139,2026-02-19,1012,Silver
140,2025-12-06,1011,Gold
141,2025-12-30,1003,Gold
142,2026-03-09,1010,Bronze
143,2026-02-07,1001,Bronze
144,2025-09-08,1012,Bronze
145,2026-06-27,1008,Bronze
146,2026-07-23,1008,Silver
147,2025-10-21,1001,Silver
148,2026-03-21,1011,Bronze
149,2025-10-10,1001,Bronze
150,2026-05-03,1003,Silver
151,2025-12-12,1002,Silver
152,2026-04-28,1009,Bronze
153,2026-05-22,1002,Bronze
154,2026-06-07,1011,Bronze
155,2025-10-10,1008,Bronze
156,2026-07-30,1001,Bronze
157,2025-11-23,1001,Silver
158,2025-09-14,1001,Silver
159,2026-03-21,1007,Bronze
160,2026-01-13,1010,Bronze
161,2026-06-29,1003,Silver
162,2026-06-21,1010,Bronze
163,2025-12-25,1001,Silver
164,2026-08-12,1010,Bronze
165,2025-12-15,1011,Gold
166,2026-03-06,1009,Bronze
167,2025-12-02,1008,Bronze
168,2026-08-06,1010,Silver
169,2025-10-30,1001,Silver
170,2025-09-17,1002,Silver
171,2026-02-05,1002,Bronze
172,2026-08-27,1006,Bronze
173,2026-07-21,1009,Bronze
174,2026-05-30,1007,Bronze
175,2026-07-21,1010,Bronze
176,2026-07-22,1002,Bronze
177,2026-03-08,1009,Silver
178,2025-12-24,1002,Bronze
179,2026-06-08,1003,Bronze
180,2026-04-29,1008,Silver
181,2026-01-14,1012,Silver
182,2025-10-05,1007,Bronze
183,2026-05-30,1001,Bronze
184,2025-12-05,1007,Gold
185,2026-08-07,1001,Bronze
186,2025-11-27,1011,Gold
187,2025-10-15,1008,Gold
188,2026-06-29,1002,Bronze
189,2025-10-26,1001,Bronze
190,2025-11-05,1002,Silver
191,2026-04-06,1012,Bronze
192,2026-07-15,1006,Bronze
193,2025-11-11,1009,Gold
194,2025-12-22,1008,Silver
195,2026-06-10,1007,Bronze
196,2026-08-19,1002,Bronze
197,2026-03-01,1011,Gold
198,2025-10-23,1004,Bronze
199,2025-09-06,1007,Bronze
200,2025-11-23,1008,Bronze
201,2025-10-18,1008,Bronze
202,2026-05-04,1011,Bronze
203,2025-10-15,1002,Silver
204,2026-03-03,1006,Bronze
205,2026-05-11,1005,Bronze
206,2026-03-30,1006,Bronze
207,2025-11-12,1002,Bronze
208,2026-06-19,1002,Bronze
209,2026-05-18,1003,Silver
210,2026-05-27,1004,Bronze
211,2025-10-18,1005,Bronze
212,2025-10-15,1007,Bronze
213,2026-08-03,1008,Bronze
214,2026-01-23,1005,Bronze
215,2025-12-19,1005,Bronze
216,2026-02-25,1003,Silver
217,2026-04-29,1007,Bronze
218,2026-06-01,1004,Bronze
219,2025-12-13,1001,Silver
220,2026-08-02,1005,Bronze
221,2025-09-10,1006,Bronze
222,2026-03-21,1003,Silver
223,2026-04-19,1007,Silver
224,2025-10-09,1007,Bronze
225,2025-10-21,1008,Bronze
226,2026-01-31,1008,Bronze
227,2026-08-17,1008,Bronze
228,2026-04-05,1004,Silver
229,2026-08-05,1009,Bronze
230,2026-06-19,1007,Bronze
231,2026-02-17,1005,Silver
232,2026-06-12,1007,Bronze
233,2025-09-07,1004,Silver
234,2025-10-10,1006,Silver
235,2026-06-29,1009,Bronze
236,2026-06-17,1011,Bronze
237,2025-11-24,1011,Bronze
238,2026-03-12,1006,Silver
239,2026-04-08,1007,Bronze
240,2026-07-12,1010,Bronze
241,2026-04-07,1004,Bronze
242,2026-01-28,1010,Bronze
243,2026-01-14,1006,Bronze
244,2026-02-02,1002,Bronze
245,2026-04-25,1001,Bronze
246,2026-07-12,1010,Bronze
247,2026-02-12,1001,Silver
248,2025-11-29,1003,Bronze
249,2025-11-25,1004,Gold
250,2026-05-29,1002,Bronze
251,2026-06-24,1004,Bronze
252,2025-10-09,1009,Silver
253,2025-09-25,1001,Gold
254,2026-04-04,1010,Bronze
255,2025-10-24,1010,Gold
256,2026-06-27,1005,Bronze
257,2025-12-22,1002,Silver
258,2025-10-23,1007,Gold
259,2026-08-01,1002,Bronze
260,2025-10-31,1004,Gold
